Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0.0,Rynaose,Pantheon,0.0,0.0,593.0,464.0,100.0,JUNGLE,tearau,Viego,0.0,0.0,14539.0,14394.0,200.0,JUNGLE,19711.311879223056,NA1_5322728833
60.0,Rynaose,Pantheon,0.0,0.0,6866.0,4295.0,100.0,JUNGLE,tearau,Viego,0.0,0.0,7674.0,11398.0,200.0,JUNGLE,7148.809201538394,NA1_5322728833
120.0,Rynaose,Pantheon,0.0,4.0,2485.0,8292.0,100.0,JUNGLE,tearau,Viego,0.0,4.0,6888.0,12633.0,200.0,JUNGLE,6183.09712037584,NA1_5322728833
180.0,Rynaose,Pantheon,0.0,16.0,7939.0,3529.0,100.0,JUNGLE,tearau,Viego,0.0,16.0,11991.0,6727.0,200.0,JUNGLE,5161.967454372412,NA1_5322728833
240.0,Rynaose,Pantheon,0.0,24.0,11771.0,4139.0,100.0,JUNGLE,tearau,Viego,0.0,28.0,11610.0,4432.0,200.0,JUNGLE,334.32020579079574,NA1_5322728833
300.0,Rynaose,Pantheon,0.0,28.0,2122.0,11463.0,100.0,JUNGLE,tearau,Viego,0.0,28.0,6545.0,12439.0,200.0,JUNGLE,4529.404486243197,NA1_5322728833
360.0,Rynaose,Pantheon,0.0,40.0,8265.0,4941.0,100.0,JUNGLE,tearau,Viego,0.0,44.0,10970.0,6357.0,200.0,JUNGLE,3053.2083125787535,NA1_5322728833
420.0,Rynaose,Pantheon,1.0,40.0,9571.0,2495.0,100.0,JUNGLE,tearau,Viego,1.0,48.0,12171.0,4569.0,200.0,JUNGLE,3325.879733243522,NA1_5322728833
480.0,Rynaose,Pantheon,1.0,48.0,3774.0,8441.0,100.0,JUNGLE,tearau,Viego,1.0,52.0,6492.0,12632.0,200.0,JUNGLE,4995.19819426617,NA1_5322728833
540.0,Rynaose,Pantheon,1.0,52.0,3820.0,3303.0,100.0,JUNGLE,tearau,Viego,1.0,60.0,6447.0,9407.0,200.0,JUNGLE,6645.294952069472,NA1_5322728833
600.0,Rynaose,Pantheon,7.0,52.0,2528.0,8313.0,100.0,JUNGLE,tearau,Viego,1.0,64.0,8269.0,3561.0,200.0,JUNGLE,7452.555601939512,NA1_5322728833
660.0,Rynaose,Pantheon,7.0,62.0,8759.0,2243.0,100.0,JUNGLE,tearau,Viego,1.0,76.0,11873.0,6544.0,200.0,JUNGLE,5309.952636323605,NA1_5322728833
720.0,Rynaose,Pantheon,7.0,64.0,2787.0,6225.0,100.0,JUNGLE,tearau,Viego,1.0,84.0,10794.0,13555.0,200.0,JUNGLE,10855.457106911712,NA1_5322728833
780.0,Rynaose,Pantheon,7.0,64.0,5370.0,953.0,100.0,JUNGLE,tearau,Viego,1.0,91.0,2974.0,7713.0,200.0,JUNGLE,7172.058003111799,NA1_5322728833
840.0,Rynaose,Pantheon,7.0,72.0,3124.0,7649.0,100.0,JUNGLE,tearau,Viego,1.0,111.0,14317.0,14311.0,200.0,JUNGLE,13025.57073605606,NA1_5322728833
900.0,Rynaose,Pantheon,14.0,72.0,7845.0,5799.0,100.0,JUNGLE,tearau,Viego,2.0,123.0,10361.0,8497.0,200.0,JUNGLE,3689.100161285947,NA1_5322728833
960.0,Rynaose,Pantheon,15.0,72.0,12388.0,1330.0,100.0,JUNGLE,tearau,Viego,2.0,123.0,9099.0,1660.0,200.0,JUNGLE,3305.5137270929613,NA1_5322728833
1020.0,Rynaose,Pantheon,16.0,80.0,1215.0,10764.0,100.0,JUNGLE,tearau,Viego,2.0,131.0,11251.0,4653.0,200.0,JUNGLE,11750.132637549246,NA1_5322728833
1080.0,Rynaose,Pantheon,17.0,84.0,4406.0,5982.0,100.0,JUNGLE,tearau,Viego,2.0,135.0,4834.0,10103.0,200.0,JUNGLE,4143.166059911188,NA1_5322728833
1140.0,Rynaose,Pantheon,17.0,92.0,3134.0,7538.0,100.0,JUNGLE,tearau,Viego,2.0,147.0,6165.0,11224.0,200.0,JUNGLE,4772.164812744841,NA1_5322728833
1200.0,Rynaose,Pantheon,17.0,96.0,3859.0,1417.0,100.0,JUNGLE,tearau,Viego,4.0,147.0,6256.0,1444.0,200.0,JUNGLE,2397.1520602581722,NA1_5322728833
1260.0,Rynaose,Pantheon,18.0,100.0,8526.0,3404.0,100.0,JUNGLE,tearau,Viego,4.0,155.0,11344.0,3337.0,200.0,JUNGLE,2818.7963743413607,NA1_5322728833
