Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId,P1_x_next,P1_y_next,P2_x_next,P2_y_next
0.0,jall27,Pantheon,0.0,0.0,0.03953333333333333,0.030933333333333334,100.0,JUNGLE,Soera,DrMundo,0.0,0.0,0.9692666666666667,0.9596,200.0,JUNGLE,19711.311879223056,NA1_5320882961,0.431,0.30233333333333334,0.5396666666666666,0.6814666666666667
60.0,jall27,Pantheon,0.0,0.0,0.431,0.30233333333333334,100.0,JUNGLE,Soera,DrMundo,0.0,0.0,0.5396666666666666,0.6814666666666667,200.0,JUNGLE,5915.984195381187,NA1_5320882961,0.5724666666666667,0.15306666666666666,0.47013333333333335,0.8450666666666666
120.0,jall27,Pantheon,0.0,4.0,0.5724666666666667,0.15306666666666666,100.0,JUNGLE,Soera,DrMundo,0.0,6.0,0.47013333333333335,0.8450666666666666,200.0,JUNGLE,10492.884493789112,NA1_5320882961,0.20606666666666668,0.5358666666666667,0.8192666666666667,0.44606666666666667
180.0,jall27,Pantheon,0.0,16.0,0.20606666666666668,0.5358666666666667,100.0,JUNGLE,Soera,DrMundo,0.0,16.0,0.8192666666666667,0.44606666666666667,200.0,JUNGLE,9296.107411169472,NA1_5320882961,0.5588666666666666,0.4282666666666667,0.637,0.3990666666666667
240.0,jall27,Pantheon,0.0,28.0,0.5588666666666666,0.4282666666666667,100.0,JUNGLE,Soera,DrMundo,0.0,28.0,0.637,0.3990666666666667,200.0,JUNGLE,1251.1706518297174,NA1_5320882961,0.8737333333333334,0.21306666666666665,0.8210666666666666,0.09013333333333333
300.0,jall27,Pantheon,0.0,36.0,0.8737333333333334,0.21306666666666665,100.0,JUNGLE,Soera,DrMundo,0.0,28.0,0.8210666666666666,0.09013333333333333,200.0,JUNGLE,2006.0996984197968,NA1_5320882961,0.17346666666666666,0.35886666666666667,0.6222,0.6327333333333334
360.0,jall27,Pantheon,1.0,36.0,0.17346666666666666,0.35886666666666667,100.0,JUNGLE,Soera,DrMundo,0.0,36.0,0.6222,0.6327333333333334,200.0,JUNGLE,7885.558001815724,NA1_5320882961,0.504,0.7300666666666666,0.4902666666666667,0.23
420.0,jall27,Pantheon,1.0,40.0,0.504,0.7300666666666666,100.0,JUNGLE,Soera,DrMundo,0.0,47.0,0.4902666666666667,0.23,200.0,JUNGLE,7503.828156347931,NA1_5320882961,0.2366,0.4664,0.7088666666666666,0.367
480.0,jall27,Pantheon,1.0,49.0,0.2366,0.4664,100.0,JUNGLE,Soera,DrMundo,0.0,51.0,0.7088666666666666,0.367,200.0,JUNGLE,7239.208313068495,NA1_5320882961,0.41613333333333336,0.7593333333333333,0.7653333333333333,0.5406
540.0,jall27,Pantheon,1.0,62.0,0.41613333333333336,0.7593333333333333,100.0,JUNGLE,Soera,DrMundo,0.0,63.0,0.7653333333333333,0.5406,200.0,JUNGLE,6180.744696232,NA1_5320882961,0.4806666666666667,0.3386,0.4246666666666667,0.5540666666666667
