Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId
0,stemy,Graves,0,0,593,464,100,JUNGLE,SpaMonkey420,Rammus,0,0,14539,14394,200,JUNGLE,19711.311879223056,NA1_5321572382
60,stemy,Graves,0,0,6442,7686,100,JUNGLE,SpaMonkey420,Rammus,0,0,11199,3413,200,JUNGLE,6394.339528051353,NA1_5321572382
120,stemy,Graves,0,4,2479,8278,100,JUNGLE,SpaMonkey420,Rammus,0,4,12263,6665,200,JUNGLE,9916.069029610473,NA1_5321572382
180,stemy,Graves,0,16,7949,3390,100,JUNGLE,SpaMonkey420,Rammus,0,16,6979,11354,200,JUNGLE,8022.8546041917025,NA1_5321572382
240,stemy,Graves,2,23,10595,4884,100,JUNGLE,SpaMonkey420,Rammus,0,28,6789,6915,200,JUNGLE,4314.000115901714,NA1_5321572382
300,stemy,Graves,4,23,2831,7068,100,JUNGLE,SpaMonkey420,Rammus,0,32,12621,10955,200,JUNGLE,10533.416777095645,NA1_5321572382
360,stemy,Graves,4,27,6706,7327,100,JUNGLE,SpaMonkey420,Rammus,0,36,7065,7315,200,JUNGLE,359.2005011132362,NA1_5321572382
420,stemy,Graves,10,33,3312,6888,100,JUNGLE,SpaMonkey420,Rammus,2,40,3691,13323,200,JUNGLE,6446.151254818646,NA1_5321572382
480,stemy,Graves,11,43,6485,4804,100,JUNGLE,SpaMonkey420,Rammus,2,44,8312,6977,200,JUNGLE,2838.9889045221717,NA1_5321572382
540,stemy,Graves,15,51,7385,3065,100,JUNGLE,SpaMonkey420,Rammus,2,44,9634,13231,200,JUNGLE,10411.798931980968,NA1_5321572382
600,stemy,Graves,15,59,2631,4222,100,JUNGLE,SpaMonkey420,Rammus,2,52,5049,10382,200,JUNGLE,6617.576897928728,NA1_5321572382
660,stemy,Graves,16,67,7889,7094,100,JUNGLE,SpaMonkey420,Rammus,2,62,3536,12143,200,JUNGLE,6666.409078356953,NA1_5321572382
720,stemy,Graves,17,75,12837,4350,100,JUNGLE,SpaMonkey420,Rammus,5,62,14340,14391,200,JUNGLE,10152.866097807062,NA1_5321572382
780,stemy,Graves,19,75,1864,3113,100,JUNGLE,SpaMonkey420,Rammus,7,62,10682,1207,200,JUNGLE,9021.638432125286,NA1_5321572382
840,stemy,Graves,23,87,3537,9959,100,JUNGLE,SpaMonkey420,Rammus,7,66,11626,1952,200,JUNGLE,11381.738443664923,NA1_5321572382
900,stemy,Graves,23,107,7794,2401,100,JUNGLE,SpaMonkey420,Rammus,10,74,11031,8750,200,JUNGLE,7126.5678976629415,NA1_5321572382
960,stemy,Graves,25,111,4042,8423,100,JUNGLE,SpaMonkey420,Rammus,10,78,6252,7913,200,JUNGLE,2268.0828909014767,NA1_5321572382
1020,stemy,Graves,35,115,7232,7232,100,JUNGLE,SpaMonkey420,Rammus,10,78,7239,11143,200,JUNGLE,3911.006264377494,NA1_5321572382
1080,stemy,Graves,35,127,8950,5703,100,JUNGLE,SpaMonkey420,Rammus,10,94,9967,5999,200,JUNGLE,1059.2001699395635,NA1_5321572382
1140,stemy,Graves,35,131,394,461,100,JUNGLE,SpaMonkey420,Rammus,10,98,4347,6198,200,JUNGLE,6967.020740603547,NA1_5321572382
1200,stemy,Graves,36,144,3943,6114,100,JUNGLE,SpaMonkey420,Rammus,10,102,7883,1275,200,JUNGLE,6240.153924383597,NA1_5321572382
1260,stemy,Graves,42,151,8601,4564,100,JUNGLE,SpaMonkey420,Rammus,10,106,12130,9454,200,JUNGLE,6030.417978880071,NA1_5321572382
1320,stemy,Graves,43,154,13672,3563,100,JUNGLE,SpaMonkey420,Rammus,11,114,9471,1466,200,JUNGLE,4695.296582751722,NA1_5321572382
1326,stemy,Graves,43,154,13672,3563,100,JUNGLE,SpaMonkey420,Rammus,11,114,9471,1466,200,JUNGLE,4695.296582751722,NA1_5321572382
